id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
35303,"La Casa Gaienmae C Harajuku, Omotesando is nearby",151977,Miyuki,,Shibuya Ku,35.67152,139.71203,Private room,4196,28,18,2018-07-28,0.2
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.717209999999994,139.82596,Entire home/apt,10975,3,156,2019-05-21,1.65
289597,Private apt in central Tokyo #203,341577,Hide&Kei,,Nerima Ku,35.742670000000004,139.6581,Entire home/apt,4196,30,107,2019-05-25,1.25
370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66344,139.65593,Entire home/apt,6994,29,99,2019-05-07,1.55
700253,Private apt in central Tokyo #201,341577,Hide&Kei,,Nerima Ku,35.74264,139.65832,Entire home/apt,3981,30,101,2019-05-03,1.24
776070,Kero-kero house room 1,801494,Kotaro Kei And Litte Miya,,Arakawa Ku,35.73818,139.77008999999998,Private room,6456,3,215,2019-06-16,2.68
872235,RELAX AT HOME:Shimo 5'/Shibuya 10',1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66832,139.65159,Entire home/apt,9469,29,41,2018-08-20,0.54
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5165,30,90,2019-06-11,1.16
905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67968,139.67949,Private room,9684,3,175,2019-06-19,2.31
1007534,Kichijoji Parkside Attic Room,5068769,Caroline,,Mitaka Shi,35.69952,139.576,Private room,6564,3,85,2019-06-11,2.65
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153000000002,Private room,6994,1,200,2019-06-11,2.64
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.690979999999996,139.70618000000002,Private room,8500,1,233,2019-05-03,3.31
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74409,139.79895,Private room,3551,3,73,2019-03-30,1.02
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65162,139.72065,Entire home/apt,31958,5,86,2019-04-23,1.22
